"","pamr$sd"
"ENSG00000023041.11",17.1683051299867
"ENSG00000023171.18",12.7379046645181
"ENSG00000023191.17",35.2102862432067
"ENSG00000023228.14",16.5783978311452
"ENSG00000023287.13",35.5991300587434
"ENSG00000023318.8",25.4883272710176
"ENSG00000023330.15",42.741986148479
"ENSG00000023445.16",53.5914991984751
"ENSG00000023516.9",17.0036701467642
"ENSG00000023572.10",9.92446131258182
"ENSG00000023608.5",17.5319188932059
"ENSG00000023697.13",45.2779219518218
"ENSG00000023734.11",121.877191411495
"ENSG00000023839.12",33.2666364545149
"ENSG00000023892.11",24.8991974713252
"ENSG00000023902.14",20.2633076339012
"ENSG00000023909.10",87.2073467147236
"ENSG00000024048.11",15.6943272629325
"ENSG00000024422.12",103.1500334487
"ENSG00000024526.17",12.911660942136
"ENSG00000024862.18",34.9282539840011
"ENSG00000025039.15",21.8365766604348
"ENSG00000025156.13",18.726513129746
"ENSG00000025293.17",15.7688690659041
"ENSG00000025423.11",57.6812637477907
"ENSG00000025434.19",20.3733438931202
"ENSG00000025708.14",92.8284607002072
"ENSG00000025770.19",25.4099200158589
"ENSG00000025772.8",49.0162830087865
"ENSG00000025796.14",22.4703199696113
"ENSG00000025800.14",22.8960459623035
"ENSG00000026025.16",174.852409373347
"ENSG00000026036.22",7.69474955122866
"ENSG00000026103.22",18.2303498859161
"ENSG00000026297.16",11.9676920980934
"ENSG00000026508.20",124.838495798395
"ENSG00000026559.14",13.0607756653078
"ENSG00000026652.15",8.96566617512794
"ENSG00000026751.17",34.0400805760563
"ENSG00000026950.17",23.3517565527114
"ENSG00000027001.10",13.9324490026715
"ENSG00000027075.15",12.9203430941409
"ENSG00000027644.5",7.88025360196347
"ENSG00000027697.15",83.1308208551164
"ENSG00000027847.14",15.7685864452637
"ENSG00000027869.12",13.8540194011143
"ENSG00000028116.18",22.1587495808917
"ENSG00000028137.19",41.2926688519636
"ENSG00000028203.18",19.6372665346272
"ENSG00000028277.21",11.3222539254653
"ENSG00000028310.18",19.1933648268002
"ENSG00000028528.15",20.3830744686198
"ENSG00000028839.10",11.8892948757553
"ENSG00000029153.14",36.3687873084089
"ENSG00000029363.17",22.5439840940117
"ENSG00000029364.12",23.5076949814519
"ENSG00000029534.21",9.05232912201184
"ENSG00000029559.7",23.2545464925611
"ENSG00000029639.11",10.1846312083115
"ENSG00000029725.17",13.5335402778989
"ENSG00000029993.15",236.991882726865
"ENSG00000030066.13",19.7690018701954
"ENSG00000030110.13",33.0611212468014
"ENSG00000030304.14",7.37885076203892
"ENSG00000030419.16",11.9881922192599
"ENSG00000030582.18",304.915388414246
"ENSG00000031003.10",12.9898317014484
"ENSG00000031081.11",17.080753916437
"ENSG00000031691.7",17.562530671386
"ENSG00000031698.13",47.4155662890207
"ENSG00000031823.14",16.2732303334852
"ENSG00000032219.19",12.0979057779154
"ENSG00000032389.13",14.4426854510885
"ENSG00000032444.17",22.932443183315
"ENSG00000032742.18",9.94653257260553
"ENSG00000033011.13",11.9050251162598
"ENSG00000033030.15",10.5776387648358
"ENSG00000033050.9",12.5879654959854
"ENSG00000033100.16",37.4824477269054
"ENSG00000033122.21",7.44673689462096
"ENSG00000033170.17",25.9467055198682
"ENSG00000033178.13",18.2514028902311
"ENSG00000033327.13",23.9769984394541
"ENSG00000033627.17",17.3525157244253
